algoritmo,tamanho_teste,tempo_ordenacao_ms,tempo_ordenacao_ns,qtde_iteracoes,qtde_trocas
Quicksort,50,1,1027300,73,106
Bubblesort,50,0,102800,1225,579
Mergesort,50,1,90900,99,286
Quicksort,50,0,28100,142,220
Bubblesort,50,0,58700,2450,1066
Mergesort,50,0,57400,198,572
Quicksort,50,0,16100,207,314
Bubblesort,50,0,121400,3675,1727
Mergesort,50,0,82400,297,858
Quicksort,50,0,45200,274,409
Bubblesort,50,0,67700,4900,2353
Mergesort,50,0,74800,396,1144
Quicksort,50,0,57000,345,521
Bubblesort,50,0,83300,6125,2943
Mergesort,50,0,38200,495,1430
Quicksort,500,0,284200,1014,2589
Bubblesort,500,4,4191800,130875,64657
Mergesort,500,0,436300,1494,5918
Quicksort,500,0,100600,1705,5058
Bubblesort,500,2,1572300,255625,126875
Mergesort,500,1,326500,2493,10406
Quicksort,500,1,101200,2398,7349
Bubblesort,500,1,356100,380375,190992
Mergesort,500,1,243200,3492,14894
Quicksort,500,0,80400,3083,10086
Bubblesort,500,1,241700,505125,249731
Mergesort,500,0,155100,4491,19382
Quicksort,500,0,46600,3754,12581
Bubblesort,500,1,313300,629875,312658
Mergesort,500,1,341800,5490,23870
Quicksort,1000,0,67000,5111,16957
Bubblesort,1000,1,976300,1129375,560613
Mergesort,1000,0,423200,7489,33846
Quicksort,1000,0,130200,6468,22352
Bubblesort,1000,1,1069700,1628875,809319
Mergesort,1000,1,470700,9488,43822
Quicksort,1000,0,71300,7803,27540
Bubblesort,1000,1,902300,2128375,1058427
Mergesort,1000,2,1241200,11487,53798
Quicksort,1000,1,316300,9158,32606
Bubblesort,1000,1,1095000,2627875,1310933
Mergesort,1000,1,768200,13486,63774
Quicksort,1000,1,117800,10515,37117
Bubblesort,1000,1,930700,3127375,1561791
Mergesort,1000,1,849400,15485,73750
Quicksort,5000,1,495800,17272,69441
Bubblesort,5000,31,30592100,15624875,7714411
Mergesort,5000,2,1256500,25484,135558
Quicksort,5000,1,481900,24127,104802
Bubblesort,5000,34,33287500,28122375,13943977
Mergesort,5000,1,1194500,35483,197366
Quicksort,5000,1,528700,30910,139320
Bubblesort,5000,25,25583900,40619875,20243812
Mergesort,5000,2,2522100,45482,259174
Quicksort,5000,0,320900,37707,172605
Bubblesort,5000,26,27245600,53117375,26443985
Mergesort,5000,2,1815800,55481,320982
Quicksort,5000,0,315900,44524,207008
Bubblesort,5000,32,32298200,65614875,32691193
Mergesort,5000,1,1446700,65480,382790
Quicksort,10000,0,653200,58131,280770
Bubblesort,10000,123,122314100,115609875,57295889
Mergesort,10000,3,3807200,85479,516406
Quicksort,10000,0,619200,71720,359206
Bubblesort,10000,127,127720400,165604875,82470345
Mergesort,10000,4,2981600,105478,650022
Quicksort,10000,1,742000,85291,433841
Bubblesort,10000,136,134793300,215599875,107508829
Mergesort,10000,2,2181000,125477,783638
Quicksort,10000,0,580000,98866,513459
Bubblesort,10000,122,122475200,265594875,132515533
Mergesort,10000,2,1819700,145476,917254
Quicksort,10000,0,523900,112463,579929
Bubblesort,10000,119,118712200,315589875,157531703
Mergesort,10000,2,1801600,165475,1050870
